공고ID,공고제목,회사명,직무카테고리,회사규모,tech_all,게시년월,cluster
330195,인하우스 웹 개발자,법무법인이엘,기타,스타트업/중소,"Java, JavaScript",2025-12,1
330179,AI 국제 물류 스타트업 물류기획자 전산팀 팀장급,아로아랩스,백엔드,스타트업/중소,"Azure, Go, React, Vue",2025-12,2
330170,DevOps Engineer(데브옵스 엔지니어),그립컴퍼니,DevOps,스타트업/중소,"AWS, Azure, CI/CD, Docker, GCP, Git, Go, Java, Jenkins, Kubernetes, Linux, Python, Terraform, 마이크로서비스",2025-12,2
330168,Network & Cloud Infra Engineer,센트비(Sentbe),DevOps,스타트업/중소,"AWS, Azure, Kubernetes",2026-01,2
330164,[NetsPresso] Edge AI Engineer,노타(Nota),AI_ML,스타트업/중소,"LLM, MLOps, Transformer",2025-12,4
330161,백엔드 엔지니어[하이브리드 근무],다이렉트클라우드랩,백엔드,스타트업/중소,"AWS, Go, Golang",2026-01,2
330152,[개발] Senior Frontend (8년 이상),아이알큐더스,백엔드,스타트업/중소,"CI/CD, Git, GitHub, GraphQL, Java, JavaScript, Nuxt, React, TypeScript, Vue",2025-12,3
330148,시니어 백엔드 개발자,컬리,백엔드,스타트업/중소,"Java, Spring, Spring Boot",2025-12,3
330146,윈도우 개발자(네이버 계열사),플레이스앤,백엔드,스타트업/중소,"C#, CI/CD, Git, GitHub, GitHub Actions, Jenkins",2025-12,0
330145,백엔드개발자(5년이하),플레이스앤,백엔드,스타트업/중소,"AWS, CI/CD, Flask, Git, GitLab, Java, Jenkins, Kotlin, Python, RabbitMQ, Ruby, Spring, Spring Boot",2025-12,0
330144,앱 개발자 (프론트엔드),원셀프월드,백엔드,스타트업/중소,"AWS, CI/CD, Flutter, GPT, NestJS, REST API, React, SQLite, TypeScript",2025-12,5
330139,[Kurly Career Curation] 시니어 백엔드 개발자 집중 영입,컬리,백엔드,스타트업/중소,"Java, Spring, Spring Boot",2026-01,3
330137,Software Engineer(Full-stack - Backend Focus),알세미,백엔드,스타트업/중소,"AWS, CI/CD, GCP, Go, Java, Kubernetes, MySQL, PostgreSQL, Python, REST API, React, Rust, SQLite, TypeScript, 딥러닝, 머신러닝",2025-12,4
330136,Software Engineer(Full-stack - Frontend Focus),알세미,백엔드,스타트업/중소,"AWS, CI/CD, GCP, Go, Java, Kubernetes, Python, React, Rust, TypeScript, 딥러닝, 머신러닝",2025-12,4
330132,Frontend 웹 개발 엔지니어,큐레아,백엔드,스타트업/중소,"CI/CD, Git, React, TypeScript, Vue",2025-12,1
330131,시스템/미들웨어 개발자,인텔렉투스,프론트엔드,스타트업/중소,"Python, Rust",2026-01,6
330126,Frontend Engineer,이베이재팬(eBay),백엔드,스타트업/중소,"CI/CD, Git, GitHub, Java, JavaScript, Jira, React, TypeScript",2026-01,1
330116,Software Engineer,페블스퀘어,백엔드,스타트업/중소,"C#, CI/CD, Docker, Git, GitHub, GitHub Actions, Java, JavaScript, Jenkins, Linux, Python, REST API, Scala, gRPC",2025-12,6
330115,백엔드 개발자,그룹바이,백엔드,스타트업/중소,"AWS, Azure, CI/CD, GCP, Python",2025-12,0
330113,[AI 헬스케어] 풀스택 개발자 주니어,알로스타,백엔드,스타트업/중소,"AWS, Docker, GCP, Git, GitHub, MySQL, NestJS, PostgreSQL, REST API, React",2025-12,1
330111,프론트엔드 개발자 (3년~5년),악어디지털,백엔드,스타트업/중소,"Git, TypeScript, Vue",2025-12,1
330102,SW 개발엔지니어,레이언스,DevOps,스타트업/중소,"Agile, C#, CI/CD, Confluence, Jira",2025-12,6
330090,BMS Software Developer (AUTOSAR),에프피티소프트웨어코리아,QA,스타트업/중소,,2025-12,6
330075,클라우드 인프라 엔지니어(DevOps),아키스케치,백엔드,스타트업/중소,"AWS, CI/CD, Java, Kotlin, Kubernetes, Python",2025-12,2
